particle_id,time_s,x_um,y_um
1,0.0,526.4467592592592,1209.413029100529
1,0.5,510.228288633461,1178.1098339719028
1,1.0,519.2775229357799,1136.7947247706422
1,1.5,528.0299811142587,1096.9641170915957
1,2.0,528.0275537634409,1090.364023297491
1,2.5,524.0449297188754,1089.5030120481929
1,3.0,524.0444444444445,1080.2805555555556
1,3.5,511.97358630952374,1092.8831845238094
1,4.0,517.9130747126436,1101.0129310344828
1,4.5,526.3023349436392,1103.4923510466988
1,5.0,537.7680121527777,1092.2471788194443
2,0.0,1144.9709639953542,1203.5017421602788
2,0.5,1145.8377976190475,1204.6770833333333
2,1.0,1150.5731523378581,1211.8495475113123
2,1.5,1149.2071026722924,1207.0464135021098
2,2.0,1147.9967426710098,1210.8211183496198
2,2.5,1156.2626962142197,1193.1636657433055
2,3.0,1170.9504830917874,1194.788647342995
2,3.5,1186.6394335511982,1184.4871096586783
2,4.0,1193.574879227053,1191.9353864734298
2,4.5,1200.1655982905982,1184.4738247863247
3,0.0,1304.1306306306305,1176.761261261261
3,0.5,1280.437675070028,1202.6032913165266
3,1.0,1257.1774193548388,1229.6012544802866
3,1.5,1242.357594936709,1262.0701476793247
3,2.0,1215.142973856209,1300.671977124183
3,2.5,1190.034076827757,1335.2695167286245
3,3.0,1130.2327327327325,1338.8813813813813
3,3.5,1134.2405437352245,1277.9314420803782
3,4.0,1103.5141093474426,1259.563492063492
3,4.5,1120.593567251462,1242.7748538011695
3,5.0,1104.6948818897638,1231.0826771653544
3,5.5,1098.5323886639676,1221.6818488529016
18,0.0,1350.8448275862067,1012.2816091954023
18,0.5,1344.3575888568682,1020.1945244956772
18,1.0,1350.777302363488,1012.3797881010594
18,1.5,1363.1309523809523,1011.1388888888888
18,2.0,1360.4320987654319,1011.432098765432
18,2.5,1368.8409624413143,1015.3491784037558
18,3.0,1372.8993055555554,1012.9548611111111
18,3.5,1373.9114114114113,1008.4309309309309
18,4.0,1375.263310185185,1012.1383101851852
18,4.5,1380.5738522954089,1011.7764471057883
18,5.0,1421.643109540636,1013.305359246172
18,5.5,1381.5199530516431,1006.919014084507
18,6.0,1380.64453125,1008.0240885416665
18,6.5,1379.84819121447,1008.3494832041343
18,7.0,1380.257768361582,1009.9682203389831
18,7.5,1380.6659836065573,1011.0040983606558
18,8.0,1381.5547263681592,1011.3246268656717
18,8.5,1381.5288978494623,1013.1149193548388
20,0.0,175.60457516339866,1008.2189542483659
20,0.5,173.25628930817606,1013.323899371069
20,1.0,173.1768018018018,1013.778153153153
20,1.5,173.54005167958658,1013.8608957795003
20,2.0,174.426247771836,1011.9763814616755
20,2.5,171.64688818565398,1013.4625527426159
20,3.0,163.28772189349112,1004.5734714003943
20,3.5,166.3252032520325,1001.244918699187
20,4.0,159.15064102564102,1014.0130876068376
20,4.5,154.70596926713947,999.8825354609928
20,5.0,155.11322463768113,1019.35009057971
20,5.5,154.24203273040482,1005.8860895779501
20,6.0,151.1668514412417,1024.4743163340722
20,6.5,159.64539007092196,1003.7778622087131
20,7.0,154.64566929133858,1019.660433070866
24,0.0,1054.689578713969,901.1566888396156
24,0.5,1050.8547794117646,914.1350081699345
24,1.0,1052.3831018518517,929.7893518518517
24,1.5,1045.1950354609928,951.2621897163119
24,2.0,1024.8031135531135,963.1272893772892
24,2.5,993.1809701492537,970.7478233830846
24,3.0,967.6103988603988,958.5612535612535
24,3.5,950.4814004376368,941.6374908825674
24,4.0,918.1725146198829,937.7843567251462
24,4.5,876.3392857142857,953.6607142857143
24,5.0,836.2783882783883,941.0485347985348
30,0.0,130.1796998420221,813.6818720379147
30,0.5,128.05127041742287,831.6107078039927
30,1.0,141.2313153961136,830.554932735426
30,1.5,152.6226993865031,837.3542944785277
30,2.0,157.52490942028984,850.1539855072463
30,2.5,166.52777777777774,850.4336043360432
30,3.0,169.75671140939596,849.2980984340045
30,3.5,173.17229038854805,845.3399795501023
30,4.0,173.26832151300235,836.1820330969266
30,4.5,167.82877604166663,828.447265625
30,5.0,163.40223097112857,820.6003937007874
30,5.5,164.716796875,810.1139322916665
30,6.0,168.27937649880096,802.4580335731414
30,6.5,175.38430420711973,799.0817152103559
30,7.0,183.98106060606062,797.625
