particle_id,time_s,x_um,y_um
2,0.0,176.83522114347355,1202.0563646170442
2,0.5,202.83564814814812,1206.3816550925926
2,1.0,167.1534090909091,1200.528409090909
2,1.5,135.38978494623655,1175.6317204301074
2,2.0,106.29340277777779,1136.7737268518517
2,2.5,96.68281653746769,1097.4257105943152
2,3.0,89.1500474833808,1038.9256885090217
2,3.5,85.07913436692506,1004.9483204134366
2,4.0,77.55128205128204,987.4134615384615
2,4.5,30.39290240811153,988.7294043092521
8,0.0,147.72502472799206,717.1402077151334
8,0.5,162.3042168674699,717.4497991967871
8,1.0,186.21364653243845,711.0081096196868
8,1.5,210.4634966378482,725.6628242074928
8,2.0,238.14937106918237,722.2814465408804
8,2.5,272.6779279279279,710.5878378378378
8,3.0,295.65158259149354,703.3840257171117
8,3.5,319.88077679449356,697.433628318584
8,4.0,331.35814249363864,688.0756997455471
8,4.5,371.5407854984894,664.867824773414
8,5.0,391.538854805726,653.5748977505112
8,5.5,411.3213951310861,636.5976123595506
8,6.0,424.4621212121212,620.1060606060606
21,0.0,1025.508872651357,186.84585942936673
21,0.5,996.5262302692665,154.81545961002786
21,1.0,949.1060606060605,170.61237373737373
21,1.5,897.2323717948717,185.01602564102564
21,2.0,861.9681186868686,196.71875
21,2.5,843.9496527777777,204.5642361111111
21,3.0,826.9353582554515,204.37305295950154
21,3.5,798.0515873015872,209.3412698412698
21,4.0,815.8849206349205,215.46825396825395
21,4.5,807.696540880503,260.7134433962264
22,0.0,1423.999343832021,173.80905511811022
22,0.5,1445.3484848484848,159.95833333333331
22,1.0,1462.6951058201057,177.0403439153439
22,1.5,1454.971955128205,196.71875
22,2.0,1430.0785519125682,191.64959016393442
22,2.5,1428.2244744744744,168.34459459459458
22,3.0,1452.4453551912566,157.19262295081967
22,3.5,1466.2422118380061,176.18380062305295
22,4.0,1452.372112211221,199.06765676567656
22,4.5,1428.5964912280701,195.5226608187134
22,5.0,1424.9688473520248,171.26557632398755
45,1.5,1300.751633986928,1303.1236383442265
45,2.0,1300.7559523809523,1283.4821428571427
45,2.5,1330.8544303797466,1249.5358649789027
45,3.0,1339.780303030303,1233.9969696969697
45,3.5,1348.7265452538632,1196.4555739514346
45,4.0,1370.138487475915,1176.9701348747592
45,4.5,1364.4458762886597,1145.0730240549826
45,5.0,1383.6293103448274,1116.6235632183907
45,5.5,1365.4086229086226,1080.1142213642213
45,6.0,1356.812015503876,1058.6466408268734
71,3.0,1344.067581300813,713.6915650406503
71,3.5,1341.8701550387595,713.5917312661497
71,4.0,1318.5073839662448,714.8505625879044
71,4.5,1298.828922934076,718.8254410399257
71,5.0,1281.801549145299,725.9869123931624
71,5.5,1245.8786764705883,731.4448529411765
71,6.0,1218.5944092827003,748.7486814345991
71,6.5,1188.1468531468531,767.9326923076923
71,7.0,1152.8086419753085,767.3263888888889
71,7.5,1133.7934439178514,786.4474723538704
84,3.5,1535.2470141150923,667.8175895765471
84,4.0,1538.9140271493213,667.4038461538462
84,4.5,1539.170403587444,672.6326606875933
84,5.0,1537.597117794486,677.0551378446114
84,5.5,1542.9227941176468,675.689338235294
84,6.0,1541.876204238921,670.1830443159922
84,6.5,1551.0164424514198,672.4869207772795
84,7.0,1559.8033553355335,671.233498349835
84,7.5,1577.8604078762305,654.1877637130801
84,8.0,1601.421052631579,645.609649122807
84,8.5,1618.7597465886938,641.922514619883
84,9.0,1639.594127806563,621.767055267703
99,4.5,34.885897435897434,1091.8948717948715
99,5.0,9.9,1059.4880952380952
99,5.5,11.129343629343628,1060.1335263835263
99,6.0,54.5715297450425,1085.8923512747876
99,6.5,94.429012345679,1082.4212962962963
99,7.0,94.03012387387386,1052.1452702702704
99,7.5,102.68189509306261,1003.9509306260575
99,8.0,141.35710093896714,993.5768779342723
99,8.5,178.67408192090394,967.0727401129942
99,9.0,207.51089324618735,943.099128540305
105,4.5,1628.673245614035,3.2821637426900585
105,5.0,1648.80691580756,15.638960481099655
105,5.5,1661.2073293172691,25.40788152610442
105,6.0,1677.6702898550725,30.92028985507246
105,6.5,1694.3584857723577,48.287601626016254
105,7.0,1687.1552083333333,65.13645833333332
105,7.5,1689.0290758047765,62.45586708203531
105,8.0,1694.6271929824559,81.71439628482972
105,8.5,1701.0204918032787,96.4931693989071
105,9.0,1687.086854460094,107.59976525821597
105,9.5,1682.0917678812416,95.88900134952766
105,10.0,1686.353476821192,95.27455849889623
105,10.5,1670.8123249299717,112.73459383753502
