particle_id,time_s,x_um,y_um
1,0.0,494.37327823691464,1206.8670798898072
1,0.5,526.0183397683398,1216.8935006435006
1,1.0,541.7889908256881,1219.890099388379
1,1.5,571.1364511162433,1228.4189761354887
1,2.0,604.8549107142857,1214.2976190476188
1,2.5,628.5828488372092,1177.7483042635658
1,3.0,663.5684523809523,1175.0833333333335
1,3.5,683.6779835390946,1165.4567901234568
1,4.0,697.9547026279391,1192.5501383125863
1,4.5,721.9139344262295,1187.0826502732239
1,5.0,760.6384154040403,1194.9913194444443
1,5.5,799.933561123766,1188.958807896735
1,6.0,818.342939481268,1159.3479827089336
1,6.5,839.1209112149533,1140.7797897196263
1,7.0,871.5139616055844,1127.8021378708552
1,7.5,906.5294592413236,1102.098466505246
1,8.0,937.2982576799633,1083.0020632737276
1,8.5,929.9000850340134,1104.922406462585
1,9.0,922.3617297698588,1127.215107646622
1,9.5,924.5980392156862,1167.9203431372548
1,10.0,906.1594650205759,1200.3477366255142
1,10.5,898.2824726134584,1228.4419014084508
1,11.0,878.2718824940048,1264.9370503597122
1,11.5,867.4495249406176,1285.4067695961996
1,12.0,868.7061403508771,1318.5375548245613
1,12.5,862.1344339622641,1340.9669811320755
8,0.0,1426.0752688172042,882.8965053763441
8,0.5,1419.2777777777778,880.3981481481482
8,1.0,1416.534926470588,873.1035539215685
8,1.5,1424.6834935897434,863.1690705128204
8,2.0,1435.4100529100526,869.0277777777777
8,2.5,1439.8871527777778,878.917824074074
8,3.0,1433.3472222222222,888.1083333333333
8,3.5,1426.5911835748793,890.4649758454105
8,4.0,1422.3696319018404,882.8936605316973
8,4.5,1431.3629943502824,873.4745762711864
8,5.0,1442.017361111111,879.8020833333334
8,5.5,1444.6967120181403,890.7879818594104
8,6.0,1437.0662100456618,896.880707762557
8,6.5,1428.8143382352941,897.6439950980391
8,7.0,1425.5022831050226,886.6267123287672
8,7.5,1436.77,881.2566666666667
8,8.0,1444.814814814815,888.3765432098764
8,8.5,1447.9880952380952,896.9761904761904
8,9.0,1444.79035639413,907.4606918238993
8,9.5,1438.2752732240438,912.6331967213115
8,10.0,1430.1089743589741,910.6987179487179
8,10.5,1429.7665662650602,904.312248995984
8,11.0,1436.5705128205127,896.8269230769231
8,11.5,1446.0211748633878,904.4159836065573
8,12.0,1448.094840386043,910.4806978470674
8,12.5,1459.2650214592275,864.1210658082975
8,13.0,1473.031576980568,821.68254857997
8,13.5,1478.4595397178916,789.1416109873792
8,14.0,1468.1037621359224,764.1181229773463
8,14.5,1470.5718954248366,751.2717864923746
8,15.0,1473.7121212121212,744.8333333333334
8,15.5,1474.0921409214093,739.4060523938572
8,16.0,1475.981884057971,740.3128019323672
8,16.5,1470.078922934076,747.728644382544
8,17.0,1498.9646739130435,728.1929347826087
9,0.0,9.281651829871414,885.0890207715133
9,0.5,23.466083486801715,875.145794966237
9,1.0,57.630534670008345,845.0616123642437
9,1.5,94.72893772893771,832.1227106227105
9,2.0,129.50336700336698,799.7373737373738
9,2.5,160.05428652002254,773.6794980259447
9,3.0,199.06448035487958,749.7647338403042
9,3.5,241.23343273691182,738.9363817097416
9,4.0,280.09852216748766,724.7947454844007
9,4.5,311.8098958333333,697.4823835784314
9,5.0,349.26354895104896,707.9341491841491
9,5.5,381.52532679738556,711.9624183006534
9,6.0,428.2956217807211,702.2866077998527
9,6.5,471.6379310344828,690.8941202475685
9,7.0,516.4609375,680.7743055555555
9,7.5,562.5852272727273,666.669034090909
9,8.0,606.3616071428571,651.6508556547619
9,8.5,650.8317245817245,651.9248712998711
9,9.0,695.7531152647975,649.9867601246106
9,9.5,747.2170881971465,643.2190337224382
9,10.0,800.886399371069,637.8547562893082
9,10.5,843.4034090909091,629.7717803030303
9,11.0,881.0875850340136,607.0204081632653
9,11.5,927.4873737373737,586.2734487734488
9,12.0,975.9561602418745,569.7930839002267
9,12.5,1025.1788432267883,558.9887747336378
9,13.0,1067.5016404199473,543.052001312336
9,13.5,1112.713920817369,521.6267560664112
9,14.0,1158.7468314321925,507.8105196451204
9,14.5,1202.1813725490197,493.30575980392155
9,15.0,1248.705357142857,475.6566220238095
9,15.5,1291.0746124031007,447.97965116279073
